"Cocunut","Mortgage_YN","AGE_AT_ORIGINATION","AGE","YEARS_WITH_BANK","MARTIAL_STATUS","EDUCATION","EMPLOYMENT","GENDER","CUST_INCOME","CURRENT_ADDRESS_DATE","CURRENT_JOB_DATE","CURRENT_WITH_BANK_DATE","CURRENT_BALANCE_EUR","YEARS_WITH_CURRENT_JOB"
74832,"N",NA,54,12,"M","HGH","RET","M",392.1174615,1988-05-15,9999-10-01,2005-05-16,2288.700154,15.8110882956879
74834,"N",NA,34,11,"S","BCR","PVE","M",192.3076923,1983-07-26,2015-09-15,2005-11-24,320.2596154,7.84394250513347
74837,"N",NA,56,3,"M","HGH","PVE","M",178.5692308,1981-07-01,2013-04-01,2013-07-29,4539.095846,10.299794661191
74838,"N",NA,36,0,"M","HGH","PVE","M",216.1868462,2011-05-01,2016-03-01,2016-08-16,5477.139846,7.38398357289528
74839,"N",NA,57,2,"W","BCR","RET","F",299.7795385,1985-02-01,1999-10-11,2014-07-24,901.3228462,23.772758384668
74847,"N",NA,25,5,"S","PRS","PVE","M",215.3846154,2013-03-27,2015-06-08,2012-06-22,4615.384615,8.11498973305955
74851,"N",NA,46,6,"D","HGH","STE","M",323.0769231,2001-06-01,1996-08-28,2011-01-04,236.0264615,26.8911704312115
74853,"N",NA,61,5,"M","HGH","PVE","M",256.0692308,2001-05-01,2006-04-01,2011-11-10,4420.435923,17.3004791238877
74857,"N",NA,43,2,"M","HGH","PVE","F",188.2692308,2010-07-01,2011-01-01,2014-11-19,2269.547846,12.5475701574264
74858,"N",NA,68,3,"M","HGH","RET","M",199.4675385,1990-01-01,9999-10-01,2014-06-26,2354.315154,15.8110882956879
74867,"N",NA,30,2,"M","BCR","PVE","F",219.0144615,2002-01-01,2012-12-05,2015-04-08,65.43592308,10.6201232032854
74874,"N",NA,25,4,"S","HGH","PVE","F",181.7538462,2013-01-01,2012-06-11,2012-11-26,784.5091538,11.1047227926078
74877,"N",NA,36,3,"S","HGH","PVE","M",230.6538462,1981-01-20,2011-03-24,2013-10-03,2937.320154,12.3230663928816
74879,"N",NA,60,4,"M","HGH","PVE","F",173.8461538,1981-03-01,2007-06-11,2012-08-22,2269.547846,16.1067761806982
74880,"N",NA,53,14,"M","BCR","PVE","F",484.7533846,2000-08-14,2002-12-14,2002-12-20,742.4416154,20.5968514715948
74881,"N",NA,42,11,"M","BCR","STE","F",410.8119231,1996-01-01,2001-03-21,2005-12-16,2357.612,22.3299110198494
74882,"N",NA,36,13,"M","BCR","PVE","F",484.6153846,2016-01-01,9999-10-01,2004-04-14,400.3465385,15.8110882956879
74883,"N",NA,66,1,"M","BCR","RET","F",231.0149231,1982-01-01,9999-10-01,2016-03-29,1947.735,15.8110882956879
74884,"N",NA,52,14,"M","PHD","STE","M",814.9230769,1995-09-01,1989-11-01,2003-03-08,1247.670462,33.7138945927447
74885,"N",NA,41,9,"M","BCR","STE","M",449.3538462,1984-04-12,2003-03-15,2007-09-26,313.3566154,20.3477070499658
74894,"N",NA,40,12,"M","HGH","STE","F",345.0286154,2005-01-05,2003-05-05,2005-05-27,2269.547846,20.208076659822
74895,"N",NA,57,5,"M","HGH","PVE","F",198.1465385,1989-10-07,2010-11-23,2011-08-08,438.2110769,12.6543463381246
74904,"N",NA,47,2,"M","HGH","PVE","M",270.2461538,1970-06-18,2014-09-02,2015-03-23,4539.095846,8.87885010266941
74919,"N",NA,46,12,"W","HGH","RET","F",205.1815385,2010-01-01,9999-10-01,2004-11-30,368.426,15.8110882956879
74923,"N",NA,63,0,"M","HGH","RET","F",188.353,1984-01-01,9999-10-01,2016-08-24,2252.294846,15.8110882956879
74928,"N",NA,52,11,"M","BCR","PVE","F",435.3846154,2009-04-22,2007-04-01,2006-02-03,2228.960462,16.3011635865845
74933,"N",NA,67,13,"M","BCR","RET","M",396.7432308,1980-01-01,9999-10-01,2003-07-23,5333.308538,15.8110882956879
74935,"N",NA,60,11,"M","HGH","RET","M",289.5578462,1957-05-08,9999-10-01,2006-01-10,1162.218615,15.8110882956879
74940,"N",NA,41,15,"M","HGH","STE","F",291.8632308,2010-06-01,1996-05-13,2002-02-21,2288.700154,27.1841204654346
74941,"N",NA,28,6,"S","BCR","PVE","F",476.1461538,1989-02-19,2015-09-01,2010-12-24,2268.491692,7.88227241615332
74944,"N",NA,23,0,"S","HGH","PVE","M",164.2230769,1994-07-08,2015-12-15,2016-08-30,2288.700154,7.59479808350445
74947,"N",NA,28,1,"S","HGH","PVE","F",253.8638462,2000-01-01,2016-01-01,2015-10-14,333.0403846,7.5482546201232
74951,"N",NA,43,1,"M","HGH","PVE","M",308.4923077,1974-03-26,2011-08-01,2015-12-26,7629.000615,11.9671457905544
74955,"N",NA,53,1,"M","HGH","STE","M",211.1461538,1967-08-05,2012-06-06,2015-10-06,2288.700154,11.1184120465435
74961,"N",NA,72,0,"S","HGH","RET","M",257.1,1945-07-16,9999-10-01,2016-08-19,3302.431231,15.8110882956879
74963,"N",NA,35,10,"M","BCR","STE","M",477.1417692,2000-09-15,2002-01-01,2007-06-08,1325.296538,21.5468856947296
74966,"N",NA,39,5,"M","HGH","PVE","M",185.5615385,2008-04-01,2010-10-01,2011-10-20,1033.745077,12.7994524298426
74968,"N",NA,67,4,"M","HGH","RET","F",173.4561538,2002-11-15,9999-10-01,2012-09-27,233.8736154,15.8110882956879
74970,"N",NA,61,13,"D","BCR","PVE","M",1127.238462,1971-06-01,2011-10-01,2003-10-29,12971.047,11.8001368925394
74972,"N",NA,38,12,"M","HGH","PVE","M",194.8692308,2015-03-15,2015-06-10,2004-08-19,1185.657308,8.10951403148528
74973,"N",NA,57,1,"M","HGH","RET","M",155.1649231,1960-12-11,2001-01-13,2015-10-27,2415.071615,22.5133470225873
74974,"N",NA,45,12,"S","BCR","STE","F",351.2691538,1972-01-18,1998-03-04,2005-06-10,567.9754615,25.3771389459274
74983,"N",NA,29,0,"S","HGH","PVE","M",273.3769231,1988-11-26,2015-01-12,2016-09-05,2268.491692,8.51745379876797
74984,"N",NA,56,13,"D","HGH","PVE","M",410.259,2014-01-01,2006-01-01,2004-05-13,2269.547846,17.5468856947296
74985,"N",NA,29,3,"M","HGH","PVE","M",412.6697692,1988-02-12,2014-11-14,2013-09-04,2228.960462,8.67898699520876
74993,"N",NA,65,12,"M","HGH","RET","F",269.3883077,2003-03-10,9999-10-01,2005-05-05,365.6482308,15.8110882956879
74994,"N",NA,62,0,"M","HGH","RET","F",201.2169231,1978-01-01,9999-10-01,2016-08-31,2307.692308,15.8110882956879
74995,"N",NA,66,3,"W","PRS","RET","M",256.1597692,1974-01-01,9999-10-01,2014-02-25,333.7444615,15.8110882956879
74996,"N",NA,53,8,"M","HGH","PVE","F",313.1469231,2007-05-04,2009-08-25,2008-08-20,2228.960462,13.9000684462697
74997,"N",NA,48,6,"M","HGH","PVE","M",266.0615385,1969-11-21,2003-10-20,2011-04-11,200.1153846,19.7481177275838
74998,"N",NA,41,7,"M","HGH","PVE","F",321.1107692,2004-01-01,2014-02-01,2010-05-28,2307.692308,9.46201232032854
75000,"N",NA,54,8,"M","HGH","PVE","F",293.6230769,1981-07-11,2014-05-05,2008-07-11,423.0033846,9.20739219712526
75002,"N",NA,45,1,"M","BCR","STE","M",219.2953077,1972-01-13,1995-08-01,2016-06-13,286,27.9671457905544
75004,"N",NA,56,6,"M","HGH","RET","F",204.0646923,1994-02-10,9999-10-01,2011-06-15,5290.925615,15.8110882956879
75011,"N",NA,28,3,"S","BCR","PVE","F",307.6923077,1989-09-25,2013-08-01,2013-09-12,443.0112308,9.96577686516085
75015,"N",NA,36,6,"S","BCR","PVE","F",351.5615385,1984-07-15,2015-12-01,2010-10-25,2268.491692,7.6331279945243
75017,"N",NA,62,14,"M","HGH","RET","M",450.9476923,1984-08-12,9999-10-01,2002-12-06,1951.022308,15.8110882956879
75020,"N",NA,40,8,"M","HGH","PVE","M",174.0076923,1977-06-29,2011-10-01,2009-01-20,765.8426923,11.8001368925394
75023,"N",NA,39,8,"M","BCR","STE","F",333.1846154,1978-06-01,2005-09-01,2009-02-03,2268.491692,17.8809034907598
